2026-03-07 11:50:41,733 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1923.000')) | Best Ask: (Decimal('0.610'), Decimal('26152.000'))
2026-03-07 11:50:41,733 | INFO | Loaded snapshot for Asset ID: aec-ufc-micjoh-dredob-2026-03-07 | Best Bid: (Decimal('0.460'), Decimal('2280.000')) | Best Ask: (Decimal('0.470'), Decimal('2646.000'))
2026-03-07 11:50:41,739 | INFO | Loaded snapshot for Asset ID: aec-ufc-micjoh-dredob-2026-03-07-inverse | Best Bid: (Decimal('0.530'), Decimal('2646.000')) | Best Ask: (Decimal('0.540'), Decimal('2280.000'))
2026-03-07 11:50:41,756 | INFO | Loaded snapshot for Asset ID: aec-ufc-micjoh-dredob-2026-03-07 | Best Bid: (Decimal('0.460'), Decimal('2280.000')) | Best Ask: (Decimal('0.470'), Decimal('2646.000'))
2026-03-07 11:50:41,756 | INFO | Loaded snapshot for Asset ID: aec-ufc-micjoh-dredob-2026-03-07-inverse | Best Bid: (Decimal('0.530'), Decimal('2646.000')) | Best Ask: (Decimal('0.540'), Decimal('2280.000'))
2026-03-07 11:50:41,783 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('17273.000')) | Best Ask: (Decimal('0.340'), Decimal('1018.000'))
2026-03-07 11:50:41,783 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('1018.000')) | Best Ask: (Decimal('0.670'), Decimal('17273.000'))
2026-03-07 11:50:41,923 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07 | Best Bid: (Decimal('0.390'), Decimal('26152.000')) | Best Ask: (Decimal('0.400'), Decimal('1943.000'))
2026-03-07 11:50:41,923 | INFO | Loaded snapshot for Asset ID: aec-ufc-coddur-nyatum-2026-03-07-inverse | Best Bid: (Decimal('0.600'), Decimal('1943.000')) | Best Ask: (Decimal('0.610'), Decimal('26152.000'))
2026-03-07 11:50:41,969 | INFO | Loaded snapshot for Asset ID: aec-ufc-codbru-donjoh-2026-03-07 | Best Bid: (Decimal('0.130'), Decimal('1199.000')) | Best Ask: (Decimal('0.140'), Decimal('442.000'))
2026-03-07 11:50:41,969 | INFO | Loaded snapshot for Asset ID: aec-ufc-codbru-donjoh-2026-03-07-inverse | Best Bid: (Decimal('0.860'), Decimal('442.000')) | Best Ask: (Decimal('0.870'), Decimal('1199.000'))
2026-03-07 11:50:42,028 | INFO | Loaded snapshot for Asset ID: aec-ufc-micjoh-dredob-2026-03-07 | Best Bid: (Decimal('0.460'), Decimal('2280.000')) | Best Ask: (Decimal('0.470'), Decimal('2646.000'))
2026-03-07 11:50:42,030 | INFO | Loaded snapshot for Asset ID: aec-ufc-micjoh-dredob-2026-03-07-inverse | Best Bid: (Decimal('0.530'), Decimal('2646.000')) | Best Ask: (Decimal('0.540'), Decimal('2280.000'))
2026-03-07 11:50:42,043 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('17273.000')) | Best Ask: (Decimal('0.340'), Decimal('1018.000'))
2026-03-07 11:50:42,043 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('1018.000')) | Best Ask: (Decimal('0.670'), Decimal('17273.000'))
2026-03-07 11:50:42,069 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('72427.000'))
2026-03-07 11:50:42,069 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('72427.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 11:50:42,075 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('17273.000')) | Best Ask: (Decimal('0.340'), Decimal('1018.000'))
2026-03-07 11:50:42,081 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('1018.000')) | Best Ask: (Decimal('0.670'), Decimal('17273.000'))
2026-03-07 11:50:42,089 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.350'), Decimal('1914.000')) | Best Ask: (Decimal('0.360'), Decimal('69741.000'))
2026-03-07 11:50:42,089 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('69741.000')) | Best Ask: (Decimal('0.650'), Decimal('1914.000'))
2026-03-07 11:50:42,316 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07 | Best Bid: (Decimal('0.410'), Decimal('771.000')) | Best Ask: (Decimal('0.420'), Decimal('72427.000'))
2026-03-07 11:50:42,316 | INFO | Loaded snapshot for Asset ID: aec-ufc-codgar-xialon-2026-03-07-inverse | Best Bid: (Decimal('0.580'), Decimal('72427.000')) | Best Ask: (Decimal('0.590'), Decimal('771.000'))
2026-03-07 11:50:42,316 | INFO | Loaded snapshot for Asset ID: aec-ufc-codbru-donjoh-2026-03-07 | Best Bid: (Decimal('0.130'), Decimal('1199.000')) | Best Ask: (Decimal('0.140'), Decimal('442.000'))
2026-03-07 11:50:42,316 | INFO | Loaded snapshot for Asset ID: aec-ufc-codbru-donjoh-2026-03-07-inverse | Best Bid: (Decimal('0.860'), Decimal('442.000')) | Best Ask: (Decimal('0.870'), Decimal('1199.000'))
2026-03-07 11:50:42,316 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('17273.000')) | Best Ask: (Decimal('0.340'), Decimal('1018.000'))
2026-03-07 11:50:42,316 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07-inverse | Best Bid: (Decimal('0.660'), Decimal('1018.000')) | Best Ask: (Decimal('0.670'), Decimal('17273.000'))
2026-03-07 11:50:42,316 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07 | Best Bid: (Decimal('0.350'), Decimal('1914.000')) | Best Ask: (Decimal('0.360'), Decimal('69741.000'))
2026-03-07 11:50:42,325 | INFO | Loaded snapshot for Asset ID: aec-ufc-chaoli-maxhol-2026-03-07-inverse | Best Bid: (Decimal('0.640'), Decimal('69741.000')) | Best Ask: (Decimal('0.650'), Decimal('1914.000'))
2026-03-07 11:50:42,344 | INFO | Loaded snapshot for Asset ID: aec-ufc-rodbel-lukfer-2026-03-07 | Best Bid: (Decimal('0.330'), Decimal('17273.000')) | Best Ask: (Decimal('0.340'), Decimal('1018.000'))
